Task	score	weight
eval_aishell-1	0.882	1
eval_asvspoof2015	0.982	1
eval_clotho	0.449	1
eval_cremad	0.847	1
eval_esc-50	0.882	1
eval_fluentspeechcommands	0.994	1
eval_freemusicarchive	0.979	1
eval_fsd50k	0.251	1
eval_fsdkaggle2018	0.872	1
eval_gtzan	0.899	1
eval_libricount	0.381	1
eval_librispeech	0.914	1
eval_mecat	0.700	1
eval_nsynth	0.782	1
eval_songdescriber	0.512	1
eval_speechcommandsv1	0.968	1
eval_urbansound8k	0.888	1
eval_vocalsound	0.941	1
eval_voxceleb1	0.974	1
eval_voxlingua33	0.940	1
Overall	0.802	20
